Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc,Time
1,1.6817920153098338,37.994,1.5469261908531189,44.1,6.141549825668335
2,1.3276519808927765,51.932,1.477333186864853,47.28,5.702362298965454
3,1.1829257477884707,57.612,1.335800794363022,52.87,5.792252779006958
4,1.0884470656094953,61.642,1.1836159604787826,58.51,5.7223193645477295
5,1.0143577503731183,64.212,1.0911762005090713,60.79,5.696216821670532
6,0.9628119968697239,66.186,1.0407836031913758,63.44,5.766621112823486
7,0.9278503616752527,67.454,0.8857774329185486,68.56,5.7472944259643555
8,0.8751608200390321,69.18,1.042917459011078,63.36,5.732276916503906
9,0.8483693927450253,70.422,0.9604513543844223,66.1,5.688146591186523
10,0.8249914077541712,71.162,0.9964078968763351,65.15,5.6743152141571045
11,0.7992948947660149,72.364,0.8832170975208282,68.66,5.717885494232178
12,0.7745491415643326,73.274,0.8218061017990113,71.18,5.661492109298706
13,0.7594128682485322,73.778,0.8355030053853989,70.15,5.736619710922241
14,0.7305481189961933,74.83,0.8442847108840943,71.0,5.695251941680908
15,0.708353164403335,75.624,0.7212446415424347,74.65,5.758925676345825
16,0.6928711426837365,76.138,0.7697117137908935,72.62,5.696059465408325
17,0.6836673601356613,76.504,0.771291041970253,73.31,5.715592384338379
18,0.6601747906269015,77.414,0.715918242931366,74.58,5.758602142333984
19,0.6433382950475454,77.914,0.6607784402370452,76.9,5.6837217807769775
20,0.6370561611469444,78.204,0.6659151351451874,76.74,5.778807878494263
21,0.6214263819520126,78.78,0.6267107406258583,78.15,5.747777462005615
22,0.6131483444472408,79.15,0.6883577400445938,75.64,5.752254247665405
23,0.5988619261233094,79.658,0.6032277125120163,78.77,5.752648830413818
24,0.5944851043126772,79.732,0.6333326518535614,77.79,5.695201396942139
25,0.5798368908255301,80.324,0.5912271198630333,79.23,5.7855846881866455
26,0.5773645724024614,80.312,0.586063621044159,79.43,5.6936936378479
27,0.5716420476851256,80.592,0.5938696646690369,78.93,5.737248182296753
28,0.5619469038055985,80.902,0.5793937033414841,79.34,5.7832605838775635
29,0.5707895963088326,80.964,0.5805612921714782,79.58,5.816561937332153
30,0.5654548398978875,80.872,0.5813361981511116,79.63,5.765786170959473
