model,architecture,scheduler,weight_decay,status,loss,accuracy
PR_0009,ResNet,CosineWarmRestarts_T5,0.0001,completed,PR-3f504c442a3b49606bafcbdf26495cf1,0.8339
PR_0006,ResNet,CosineAnnealingLR_T20,0.0001,completed,PR-f5a0986cead1eecf5462faea43d20e73,0.8101
PR_0004,ResNet,ExponentialLR_g09,0.0001,completed,PR-94485497b53ab21edbc8a5b604220772,0.7927
PR_0007,ResNet,MultiStepLR_m5_10_g05,0.0001,completed,PR-df2817f3c59927c959fcc65054681c61,0.7761
PR_0005,ResNet,CosineAnnealingLR_T10,0.0001,completed,PR-347235cb7834f7480d013b477641a3ef,0.775
PR_0002,ResNet,StepLR_s5_g03,0.0001,completed,PR-ff55ac9ac223a055800a680cafa53bed,0.7509
PR_0001,ResNet,StepLR_s10_g05,0.0001,completed,PR-c0b0de481957db50c936d37b7d55391a,0.7285
PR_0010,ResNet,LinearLR_sf01,0.0001,completed,PR-a7714b2ed64ff3b8b96f4af7ac15a764,0.6514
PR_0003,ResNet,ExponentialLR_g095,0.0001,failed,,
PR_0008,ResNet,OneCycleLR_005,0.0001,failed,,
